3 ತ್ರಿಮೂರ್ತಿಗಳು - ಬ್ರಹ್ಮಾ, ವಿಷ್ಣು, ಮಹೇಶ್ವರ
3 ಲಿಂಗತ್ರಯ ಇಷ್ಟ, ಪ್ರಾಣ, ಭಾವ
3 ಲೋಕತ್ರಯ ಮನುಷ್ಯ, ಪಿತೃ, ದೇವ
3 ವಚನತ್ರಯ ಏಕ, ದ್ವಿ, ಬಹು
3 ವಾಸನಾತ್ರಯ ಲೋಕ, ಶಾಸ್ತ್ರ, ದೇಹ
3 ವಿಭಾಗತ್ರಯ ಉತ್ತಮ, ಮಧ್ಯಮ, ಅಧಮ
3 ವೈರಾಗ್ಯತ್ರಯ ಪುರಾಣ, ಶ್ಮಶಾನ, ಪ್ರಸೂತಿ
3 ಶಕ್ತಿತ್ರಯ ಇಚ್ಛಾ, ಕ್ರಿಯಾ, ಜ್ಞಾನ
3 ಶತಕತ್ರಯ ನೀತಿ, ಶೃಂಗಾರ, ವೈರಾಗ್ಯ
3 ಸತ್ಯತ್ರಯ ವ್ಯಾವಹಾರಿಕ, ಪ್ರಾತಿಭಾಸಿಕ, ಪಾರಮಾರ್ಥಿಕ
3 ಸಾಧನಾಸೂತ್ರತ್ರಯ ಶ್ರವಣ, ಮನನ, ನಿದಿಧ್ಯಾಸನ
3 ಬೃಹತ್ತ್ರಯೀ ಚರಕಸಂಹಿತಾ, ಸುಶ್ರುತಸಂಹಿತಾ, ಅಷ್ಟಾಂಗಹೃದಯ
3 ಲಘುತ್ರಯೀ ಮಾಧವನಿದಾನ, ಭಾವಪ್ರಕಾಶ, ಶಾರ್‍ಂಗಧರಸಂಹಿತಾ
3 ತ್ರಿವಿಧ ಅವಸ್ಥಾ ವೈಶ್ವಾನರ, ತೈಜಸ, ಪ್ರಾಜ್ಞ
3 ತ್ರಿವಿಧ ಆನನ್ದ ಬಾಲ, ಉನ್ಮತ್ತ, ಪಿಶಾಚ
3 ತ್ರಿವಿಧ ಉಪಾಧಿ ವಿರಾಟ್, ಸ್ವರಾಟ್, ಸಮ್ರಾಟ್
3 ತ್ರಿವಿಧ ಚಿಕಿತ್ಸಾ ಶೋಧನ, ಶಮನ, ರಸಾಯನ
3 ತ್ರಿವಿಧ ಭೇದ ಸಜಾತೀಯ, ವಿಜಾತೀಯ, ಸ್ವಗತ
3 ತ್ರಿವಿಧ ಮಲ ಸ್ವೇದ, ಮೂತ್ರ, ಪುರೀಷ
3 ತ್ರಿವಿಧ ಲೀಲಾ ವಿರಾಟ್, ಹಿರಣ್ಯಗರ್ಭ, ಈಶ್ವರ

